t    f(t)
begin
0.0026999972999999997  -7.292150357387358
0.00270555285  3.215535156457362
0.0027111084  3.038879384662559
0.00271666395  3.4158042809245046
0.0027222195  10.512394837412755
0.00272777505  10.318006955994164
0.0027333305999999997  10.00246920205415
0.0027388861499999997  9.746799993885901
0.0027444417  9.486089442574857
0.00274999725  9.136844432487946
0.0027555528  8.711353707768124
0.00276110835  2.4550597577966187
0.0027666639  1.936071867847067
0.0027722194499999997  7.818872409654338
0.0027777749999999997  -5.845303831458081
0.0027833305499999996  -5.7339933303895725
0.0027888861  8.809072507435161
0.00279444165  8.497889269222698
0.0027999972  8.254550996593077
0.00280555275  8.127038318943738
0.0028111082999999998  7.997444255134047
0.0028166638499999997  7.75459785534982
0.0028222193999999996  -6.947784249444709
0.00282777495  -4.265506201861394
0.0028333305  -3.99973897697564
0.00283888605  3.9659534553905025
0.0028444416  4.13920105567069
0.0028499971499999998  4.229081163399121
0.0028555526999999997  10.053716479610893
0.0028611082499999997  10.048766843577143
0.0028666638  10.069001104887215
0.00287221935  10.248905088459061
0.0028777749  9.735203167222158
0.00288333045  11.755658432079898
0.002888886  11.847422579083618
0.0028944415499999997  6.338529619595805
0.0028999970999999997  6.647654462742198
0.00290555265  6.982773168015281
0.0029111082  0.5650236804594444
0.00291666375  0.9342086724977775
0.0029222193  13.357624487973066
0.00292777485  13.632299935138747
0.0029333303999999998  13.822991859856712
0.0029388859499999997  15.241565898335246
0.0029444414999999996  15.528697535227664
0.00294999705  15.676415364820098
0.0029555526  15.820478237322916
0.00296110815  4.40519286938342
0.0029666637  4.816958172855683
0.0029722192499999998  5.37045690039602
0.0029777747999999997  12.048973558734572
0.0029833303499999997  12.464346098876318
0.0029888859  12.315196057072367
0.00299444145  18.94406816283359
0.002999997  19.16718658982279
0.00300555255  19.503041116388648
0.0030111081  19.825666418730084
0.0030166636499999997  20.153262022408136
0.0030222191999999997  20.2551319935362
0.00302777475  15.932807721976268
0.0030333303  16.24053011970364
